City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,79.0,71,0,16.55,PF,2022-02-13 06:21:18
1,Bambous Virieux,-20.3428,57.7575,86.25,74,40,14.97,MU,2022-02-13 06:21:19
2,Mount Gambier,-37.8333,140.7667,74.1,39,100,8.7,AU,2022-02-13 06:21:19
3,Nagato,34.3833,131.2,46.35,87,100,4.27,JP,2022-02-13 06:21:20
4,Sistranda,63.7256,8.834,41.9,73,100,16.49,NO,2022-02-13 06:12:26
5,Progreso,21.2833,-89.6667,72.1,90,34,18.5,MX,2022-02-13 06:21:21
6,Houston,29.7633,-95.3633,41.92,60,0,14.97,US,2022-02-13 06:19:17
7,Hobart,-42.8794,147.3294,77.02,48,75,16.11,AU,2022-02-13 06:18:28
8,Mahibadhoo,3.7833,72.9667,81.0,73,100,4.61,MV,2022-02-13 06:21:22
9,Xuanhua,40.6103,115.0447,24.26,74,100,11.07,CN,2022-02-13 06:21:22
10,Arica,-18.475,-70.3042,69.22,76,53,3.11,CL,2022-02-13 06:16:42
11,Ushuaia,-54.8,-68.3,44.26,70,75,6.91,AR,2022-02-13 06:21:23
12,Hilo,19.7297,-155.09,73.13,73,40,3.44,US,2022-02-13 06:21:23
13,Pacific Grove,36.6177,-121.9166,61.56,70,0,4.61,US,2022-02-13 06:17:14
14,Ribeira Grande,38.5167,-28.7,61.39,88,94,15.32,PT,2022-02-13 06:21:24
15,Labuhan,-6.8844,112.2051,84.38,65,90,10.65,ID,2022-02-13 06:21:24
16,Encheng,22.1839,112.3026,64.96,70,100,7.0,CN,2022-02-13 06:21:25
17,Port Alfred,-33.5906,26.891,74.91,90,100,18.43,ZA,2022-02-13 06:21:26
18,Key Largo,25.0865,-80.4473,75.0,86,65,7.31,US,2022-02-13 06:21:26
19,Mataura,-46.1927,168.8643,52.48,96,100,3.27,NZ,2022-02-13 06:21:26
20,Caravelas,-17.7125,-39.2481,74.98,86,100,1.83,BR,2022-02-13 06:21:27
21,Rimbey,52.6334,-114.2353,47.32,69,81,10.36,CA,2022-02-13 06:21:27
22,Hovd,48.0056,91.6419,-6.95,86,100,4.27,MN,2022-02-13 06:21:28
23,Tiksi,71.6872,128.8694,-6.11,86,100,14.32,RU,2022-02-13 06:21:28
24,Victoria,22.2855,114.1577,67.17,89,100,4.0,HK,2022-02-13 06:19:52
25,Meulaboh,4.1363,96.1285,85.32,66,73,5.68,ID,2022-02-13 06:21:29
26,Shache,38.4167,77.2406,44.24,27,85,3.69,CN,2022-02-13 06:21:29
27,Punta Arenas,-53.15,-70.9167,55.51,76,0,20.71,CL,2022-02-13 06:21:30
28,Andenes,69.3143,16.1194,28.38,64,40,18.41,NO,2022-02-13 06:21:30
29,Cape Town,-33.9258,18.4232,72.88,79,0,17.27,ZA,2022-02-13 06:17:21
30,Menongue,-14.6585,17.691,64.17,95,100,4.94,AO,2022-02-13 06:21:31
31,Tezu,27.9167,96.1667,73.15,24,0,4.65,IN,2022-02-13 06:21:31
32,Nishihara,26.1842,127.7558,71.26,91,100,12.66,JP,2022-02-13 06:21:32
33,Makat,47.6469,53.3463,32.22,100,100,6.51,KZ,2022-02-13 06:21:32
34,Flin Flon,54.7682,-101.865,-9.54,92,28,7.61,CA,2022-02-13 06:21:33
35,Holme,56.1138,10.1725,40.86,85,100,19.17,DK,2022-02-13 06:21:33
36,Vestmannaeyjar,63.4427,-20.2734,31.51,90,97,17.76,IS,2022-02-13 06:21:34
37,Kawalu,-7.3817,108.2082,80.82,78,94,2.77,ID,2022-02-13 06:21:35
38,Lebu,-37.6167,-73.65,57.2,90,100,2.21,CL,2022-02-13 06:21:35
39,Georgetown,5.4112,100.3354,89.53,66,40,9.22,MY,2022-02-13 06:21:36
40,Alofi,-19.0595,-169.9187,80.49,78,86,8.05,NU,2022-02-13 06:21:36
41,Andrushivka,50.0229,29.0202,28.47,72,17,7.09,UA,2022-02-13 06:21:37
42,Nyurba,63.2842,118.3319,-8.97,94,99,2.59,RU,2022-02-13 06:21:37
43,Busselton,-33.65,115.3333,85.08,39,0,5.7,AU,2022-02-13 06:21:37
44,Albany,42.6001,-73.9662,28.81,68,98,1.01,US,2022-02-13 06:21:38
45,New Norfolk,-42.7826,147.0587,75.92,32,100,8.75,AU,2022-02-13 06:22:39
46,Longyearbyen,78.2186,15.6401,12.04,85,75,2.3,SJ,2022-02-13 06:22:39
47,Chuy,-33.6971,-53.4616,63.68,88,100,11.95,UY,2022-02-13 06:22:39
48,Vargashi,55.3556,65.8467,3.07,94,95,4.05,RU,2022-02-13 06:22:40
49,Bluff,-46.6,168.3333,52.81,78,100,11.27,NZ,2022-02-13 06:21:58
50,Finschhafen,-6.6024,147.8681,82.63,75,56,6.26,PG,2022-02-13 06:22:41
51,Olavarria,-36.8927,-60.3225,49.93,65,0,5.95,AR,2022-02-13 06:22:41
52,Atuona,-9.8,-139.0333,78.13,78,18,14.25,PF,2022-02-13 06:22:42
53,Kavieng,-2.5744,150.7967,82.27,73,100,3.2,PG,2022-02-13 06:22:42
